,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow
10,22-A-1583811,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,63.0,1.0,17,4,1583811.0,PHW52 X PHM49,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,86.0,200.0,31500.0,16.16,131.93,22.4,NA,16.737,NA,4.551,2.274,NA,14.5,483.0,33.416,161.4,18.6,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,4-17
11,22-A-1583813,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,65.0,1.0,19,4,1583813.0,B14A X MO17,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,103.0,205.0,32500.0,14.25,120.53,19.6,NA,17.068,NA,4.36,2.492,NA,13.5,486.0,25.871,125.7,20.467,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,4-19
12,22-A-1583814,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,69.0,1.0,20,4,1583814.0,PHB47 X PHK56,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,87.0,199.0,34500.0,15.43,138.47,14.7,NA,14.911,NA,4.468,2.451,NA,15.0,504.0,28.366,143.0,18.3,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,4-20
13,22-A-1583816,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,71.0,1.0,22,4,1583816.0,LH195 X PHZ51,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,115.0,227.0,35500.0,11.55,104.99,13.6,NA,16.773,NA,4.424,2.632,NA,14.0,481.0,29.924,144.0,26.967,NA,NA,NA,NA,NA,NA,NA,1.41,2022-10-16,counting;Check;Tattoo sensor,4-22
14,22-A-1583817,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,62.0,1.0,17,5,1583817.0,PHB47 X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,90.0,215.0,31000.0,8.7,86.68,5.3,NA,17.463,NA,4.221,2.482,NA,15.0,478.0,24.524,117.1,16.3,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Nitrate sensor;Tattoo sensor,5-17
15,22-A-1583818,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,69.0,1.0,18,5,1583818.0,PHB47 X LH185,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,93.0,206.0,34500.0,12.42,118.12,9.6,NA,15.58,NA,4.37,2.444,NA,13.8,427.0,29.139,124.5,14.7,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor,5-18
16,22-A-1583819,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,19,5,1583819.0,2369 X PHN82,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,88.0,193.0,33000.0,13.5,123.28,13.2,NA,15.378,NA,4.672,2.802,NA,17.0,532.0,27.424,145.9,21.433,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Nitrate sensor;Tattoo sensor,5-19
17,22-A-1583820,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,20,5,1583820.0,LH195 X LH123HT,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,111.0,232.0,33000.0,12.71,108.71,18.7,NA,18.057,NA,4.665,2.602,NA,14.0,549.0,32.981,181.0,29.1,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,5-20
18,22-A-1583821,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,21,5,1583821.0,F42 X MO17,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,104.0,209.0,33000.0,11.23,101.6,14.0,NA,15.09,NA,4.272,2.369,NA,14.0,428.0,26.885,115.0,18.0,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,5-21
19,22-A-1583822,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,73.0,1.0,22,5,1583822.0,WF9 X H95,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,86.0,208.0,36500.0,5.21,51.91,5.3,NA,13.999,NA,4.718,2.439,NA,17.5,496.0,24.769,122.9,17.067,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,counting;Check;Tattoo sensor,5-22
20,22-A-1583823,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,55.0,1.0,17,6,1583823.0,LH82 X PHJ89,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,100.0,178.0,27500.0,13.54,125.35,12.0,NA,15.303,NA,4.409,2.273,NA,16.0,536.0,22.217,119.0,13.267,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Nitrate sensor,6-17
21,22-A-1583824,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,62.0,1.0,18,6,1583824.0,LH74 X PHM49,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,95.0,198.0,31000.0,13.97,125.07,14.9,NA,15.853,NA,4.476,2.335,NA,14.5,453.0,29.604,134.2,17.7,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Nitrate sensor;Tattoo sensor,6-18
22,22-A-1583825,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,55.0,1.0,19,6,1583825.0,PHK56 X LH198,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,104.0,210.0,27500.0,13.31,121.12,13.5,NA,16.173,NA,5.013,2.503,NA,17.5,651.0,28.999,188.7,29.067,NA,NA,NA,NA,NA,NA,NA,1.82,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor,6-19
23,22-A-1583826,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,71.0,1.0,20,6,1583826.0,PHP02 X LH82,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,101.0,187.0,35500.0,11.6,113.74,6.8,NA,15.15,NA,4.129,2.513,NA,16.0,436.0,22.433,97.7,12.333,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,6-20
24,22-A-1583827,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,61.0,1.0,21,6,1583827.0,HOEGEMEYER 8065RR,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,58.0,NA,30500.0,18.04,159.04,16.2,NA,15.47,NA,4.848,2.45,NA,15.0,448.0,31.193,139.7,14.833,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,6-21
25,22-A-1583828,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,69.0,1.0,22,6,1583828.0,PHK76 X LH82,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,89.0,174.0,34500.0,12.44,121.32,7.3,NA,15.025,NA,4.109,2.357,NA,14.5,454.0,23.31,105.9,15.8,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,6-22
26,22-A-1583829,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,63.0,1.0,17,7,1583829.0,LH82 X PHB47,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,86.0,178.0,31500.0,13.52,127.16,10.6,NA,16.102,NA,4.274,2.426,NA,15.5,563.0,22.694,127.8,17.033,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor,7-17
27,22-A-1583831,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,64.0,1.0,19,7,1583831.0,B84 X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,120.0,204.0,32000.0,10.69,104.59,7.0,NA,15.587,NA,4.571,2.633,NA,17.5,496.0,23.289,115.4,20.933,NA,NA,NA,NA,NA,NA,NA,6.25,2022-10-16,Check;Tattoo sensor,7-19
28,22-A-1583832,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,20,7,1583832.0,LH123HT X PHB47,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,111.0,233.0,33000.0,11.03,106.87,7.9,NA,16.79,NA,4.436,2.481,NA,13.0,449.0,26.981,121.2,22.733,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,7-20
29,22-A-1583833,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,57.0,1.0,21,7,1583833.0,PHK56 X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,54.0,167.0,28500.0,11.57,112.84,7.3,NA,12.486,NA,4.325,2.418,NA,15.5,364.0,27.445,99.9,16.4,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,7-21
30,22-A-1583834,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,59.0,1.0,22,7,1583834.0,LH82 X W606S,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,74.0,179.0,29500.0,13.41,119.92,15.0,NA,16.578,NA,4.179,2.692,NA,17.0,519.0,22.551,117.0,18.667,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,7-22
31,22-A-1583835,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,61.0,1.0,17,8,1583835.0,B73 X PHZ51,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,120.0,246.0,30500.0,13.62,120.22,16.1,NA,17.204,NA,4.366,2.718,NA,15.5,561.0,25.791,144.6,25.033,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,8-17
32,22-A-1583836,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,63.0,1.0,18,8,1583836.0,PHZ51 X LH145,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,90.0,225.0,31500.0,11.31,112.32,5.6,NA,16.618,NA,4.21,2.672,NA,16.0,451.0,23.92,107.8,23.667,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,8-18
33,22-A-1583837,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,19,8,1583837.0,PHG39 X PHM49,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,104.0,216.0,33000.0,11.44,102.3,15.0,NA,15.551,NA,4.403,2.375,NA,14.0,471.0,28.96,136.4,18.733,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,8-19
34,22-A-1583838,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,53.0,1.0,20,8,1583838.0,2369 X PHP02,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,105.0,221.0,26500.0,13.34,126.31,10.0,NA,16.236,NA,4.318,2.614,NA,15.0,478.0,23.112,110.4,14.3,NA,NA,NA,NA,NA,NA,NA,1.89,2022-10-16,Check,8-20
35,22-A-1583839,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,61.0,1.0,21,8,1583839.0,LH198 X PHB47,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,84.0,183.0,30500.0,7.01,69.84,5.3,NA,11.503,NA,3.75,2.361,NA,12.0,259.0,22.358,57.8,12.8,NA,NA,NA,NA,NA,NA,NA,6.56,2022-10-16,Check,8-21
36,22-A-1583840,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,42.0,1.0,22,8,1583840.0,PHP02 X PHN46,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,85.0,179.0,21000.0,12.78,115.36,14.2,NA,11.704,NA,4.344,2.501,NA,15.0,319.0,22.759,72.6,6.733,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Severe bend in ear. String used to measure cob length;Check,8-22
37,22-A-1583841,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,69.0,1.0,17,9,1583841.0,LH198 X PHZ51,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,109.0,248.0,34500.0,14.34,126.88,15.9,NA,NA,NA,4.417,NA,NA,13.5,435.0,29.364,127.8,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,9-17
38,22-A-1583842,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,68.0,1.0,18,9,1583842.0,B73 X PHM49,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,131.0,238.0,34000.0,14.85,121.7,22.1,NA,NA,NA,4.757,NA,NA,15.5,500.0,28.674,143.5,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,9-18
39,22-A-1583843,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,68.0,1.0,19,9,1583843.0,B37 X MO17,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,120.0,230.0,34000.0,8.39,83.59,5.3,NA,NA,NA,4.453,NA,NA,13.5,372.0,28.117,104.5,NA,NA,NA,NA,NA,NA,NA,NA,5.88,2022-10-16,Check;Tattoo sensor,9-19
40,22-A-1583844,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,57.0,1.0,20,9,1583844.0,PHK56 X LH185,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,101.0,219.0,28500.0,16.69,146.79,16.4,NA,NA,NA,4.389,NA,NA,13.5,447.0,27.437,122.7,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,9-20
41,22-A-1583845,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,58.0,1.0,21,9,1583845.0,PHK56 X LH145,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,89.0,196.0,29000.0,9.17,91.36,5.3,NA,NA,NA,4.307,NA,NA,15.5,525.0,22.502,118.1,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,9-21
42,22-A-1583846,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,71.0,1.0,22,9,1583846.0,SYNGENTA NK0760-3111,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,98.0,223.0,35500.0,16.76,148.82,15.6,NA,NA,NA,4.581,NA,NA,14.0,466.0,28.441,132.5,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,9-22
43,22-A-1583847,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,67.0,1.0,17,10,1583847.0,B37 X H95,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,118.0,249.0,33500.0,9.56,91.52,9.0,NA,NA,NA,4.713,NA,NA,17.0,434.0,23.812,103.3,NA,NA,NA,NA,NA,NA,NA,NA,2.99,2022-10-16,Check;Tattoo sensor,10-17
44,22-A-1583848,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,61.0,1.0,18,10,1583848.0,2FACC X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,103.0,195.0,30500.0,17.16,159.05,11.9,NA,NA,NA,4.598,NA,NA,16.0,451.0,27.605,124.5,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,10-18
45,22-A-1583849,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,61.0,1.0,19,10,1583849.0,LH195 X PHM49,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,98.0,192.0,30500.0,7.08,70.54,5.3,NA,NA,NA,3.519,NA,NA,14.0,266.0,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,3.28,2022-10-16,Check;Tattoo sensor,10-19
46,22-A-1583850,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,51.0,1.0,20,10,1583850.0,PHK76 X W606S,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,93.0,201.0,25500.0,14.97,138.75,11.9,NA,NA,NA,4.172,NA,NA,14.0,410.0,23.415,96.0,NA,NA,NA,NA,NA,NA,NA,NA,1.96,2022-10-16,Check,10-20
47,22-A-1583851,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,55.0,1.0,21,10,1583851.0,PHP02 X W606S,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,101.0,202.0,27500.0,8.27,82.39,5.3,NA,NA,NA,4.816,NA,NA,15.0,569.0,27.903,158.8,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,10-21
48,22-A-1583852,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,57.0,1.0,22,10,1583852.0,LH185 X LH145,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,88.0,188.0,28500.0,7.18,71.53,5.3,NA,NA,NA,3.925,NA,NA,12.5,352.0,22.346,78.7,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,10-22
49,22-A-1583853,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,62.0,1.0,17,11,1583853.0,B73 X MO17,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,124.0,228.0,31000.0,16.2,136.17,20.1,NA,NA,NA,4.745,NA,NA,14.5,634.0,28.638,181.5,NA,NA,NA,NA,NA,NA,NA,NA,12.9,2022-10-16,Check;Tattoo sensor,11-17
50,22-A-1583854,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,70.0,1.0,18,11,1583854.0,F42 X OH43,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,115.0,244.0,35000.0,14.06,115.08,22.2,NA,NA,NA,4.769,NA,NA,17.5,506.0,25.231,127.7,NA,NA,NA,NA,NA,NA,NA,NA,8.57,2022-10-16,Check;Tattoo sensor,11-18
51,22-A-1583855,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,62.0,1.0,19,11,1583855.0,PHP02 X PHB47,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,87.0,206.0,31000.0,10.09,100.53,5.3,NA,NA,NA,4.474,NA,NA,14.5,434.0,27.98,121.4,NA,NA,NA,NA,NA,NA,NA,NA,4.84,2022-10-16,Check;Tattoo sensor,11-19
52,22-A-1583856,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,68.0,1.0,20,11,1583856.0,PHP02 X LH145,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,103.0,199.0,34000.0,8.3,82.69,5.3,NA,NA,NA,4.207,NA,NA,15.5,513.0,25.699,131.8,NA,NA,NA,NA,NA,NA,NA,NA,8.82,2022-10-16,Check,11-20
53,22-A-1583857,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,55.0,1.0,21,11,1583857.0,PHP02 X PHK56,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,98.0,204.0,27500.0,11.07,108.31,7.0,NA,15.811,NA,4.636,2.569,NA,15.0,515.0,29.029,149.5,21.767,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,11-21
54,22-A-1583858,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,61.0,1.0,22,11,1583858.0,PHP02 X PHJ89,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,90.0,218.0,30500.0,10.36,101.58,6.8,NA,14.642,NA,4.263,2.302,NA,14.5,432.0,24.136,104.3,11.667,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,11-22
55,22-A-1583859,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,69.0,1.0,17,12,1583859.0,4N506 X 3IIH6,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,109.0,250.0,34500.0,16.4,151.66,12.1,NA,17.49,NA,4.529,2.605,NA,15.5,533.0,24.919,132.7,20.667,NA,NA,NA,NA,NA,NA,NA,5.8,2022-10-16,Check;Tattoo sensor,12-17
56,22-A-1583861,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,68.0,1.0,19,12,1583861.0,2369 X PHZ51,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,126.0,247.0,34000.0,11.29,111.17,6.4,NA,16.493,NA,4.399,2.525,NA,14.0,482.0,26.558,128.1,22.0,NA,NA,NA,NA,NA,NA,NA,7.35,2022-10-16,Check;Tattoo sensor,12-19
57,22-A-1583862,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,65.0,1.0,20,12,1583862.0,PHK76 X LH198,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,104.0,218.0,32500.0,12.55,123.19,6.7,NA,15.328,NA,4.464,2.533,NA,15.0,478.0,26.767,128.0,21.067,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,12-20
58,22-A-1583863,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,53.0,1.0,21,12,1583863.0,LH185 X W606S,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,77.0,207.0,26500.0,11.16,104.49,11.0,NA,NA,NA,4.055,NA,NA,14.0,495.0,21.279,105.4,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,12-21
59,22-A-1583864,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,54.0,1.0,22,12,1583864.0,PHP02 X LH198,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,113.0,202.0,27000.0,13.61,119.13,16.8,NA,NA,NA,4.547,NA,NA,16.0,387.0,26.974,104.3,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check,12-22
60,22-A-1583865,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,66.0,1.0,17,13,1583865.0,LH195 X LH185,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,104.0,202.0,33000.0,17.46,150.62,18.0,NA,NA,NA,4.625,NA,NA,14.0,508.0,29.934,152.2,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,13-17
61,22-A-1583866,Ames,Ames B1,0.0,Medium,150.0,LC_4232,17.5,72.0,1.0,18,13,1583866.0,PHG39 X PHN82,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,90.0,219.0,36000.0,21.86,188.35,18.1,NA,NA,NA,4.508,NA,NA,16.0,535.0,29.097,155.8,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-16,Check;Tattoo sensor,13-18
